name,type,url,regionTag,categoryTag,priority,isActive,fetchIntervalMinutes,crawlConfig
"北京大学-通知公告","HTML","https://www.gotopku.cn/tzgg/index.htm","CN","通知公告",3,false,60,"{""listUrls"":[""https://www.gotopku.cn/tzgg/index.htm""],""detailPattern"":""https://www\\.gotopku\\.cn/tzgg/.*"",""selectors"":{}}"
"北京航空航天大学-通知公告","HTML","https://zs.buaa.edu.cn/tzgg.htm","CN","通知公告",3,false,60,"{""listUrls"":[""https://zs.buaa.edu.cn/tzgg.htm""],""detailPattern"":""https://zs\\.buaa\\.edu\\.cn/.*"",""selectors"":{}}"
"北京理工大学-通知公告","HTML","https://admission.bit.edu.cn/f/newsCenter/articles/0278fac54ee5438f8d16717a277d38eb","CN","通知公告",3,false,60,"{""listUrls"":[""https://admission.bit.edu.cn/f/newsCenter/articles/0278fac54ee5438f8d16717a277d38eb""],""detailPattern"":""https://admission\\.bit\\.edu\\.cn/f/newsCenter/articles/.*"",""selectors"":{}}"
"北京师范大学-通知公告","HTML","https://admission.bnu.edu.cn/sdkx/index.html","CN","通知公告",3,false,60,"{""listUrls"":[""https://admission.bnu.edu.cn/sdkx/index.html""],""detailPattern"":""https://admission\\.bnu\\.edu\\.cn/sdkx/.*"",""selectors"":{}}"
"北京师范大学-简章章程","HTML","https://admission.bnu.edu.cn/zsxx/index.html","CN","简章章程",3,false,60,"{""listUrls"":[""https://admission.bnu.edu.cn/zsxx/index.html""],""detailPattern"":""https://admission\\.bnu\\.edu\\.cn/zsxx/.*"",""selectors"":{}}"
"重庆大学-通知公告","HTML","https://zhaosheng.cqu.edu.cn/pub/desktopend/listnews?type=2&condition=Bulletin","CN","通知公告",3,false,60,"{""listUrls"":[""https://zhaosheng.cqu.edu.cn/pub/desktopend/listnews?type=2&condition=Bulletin""],""detailPattern"":""https://zhaosheng\\.cqu\\.edu\\.cn/pub/desktopend/.*"",""selectors"":{}}"
"大连理工大学-通知公告","HTML","https://zs.dlut.edu.cn/zsNews","CN","通知公告",3,false,60,"{""listUrls"":[""https://zs.dlut.edu.cn/zsNews""],""detailPattern"":""https://zs\\.dlut\\.edu\\.cn/.*"",""selectors"":{}}"
"电子科技大学-通知公告","HTML","https://zs.uestc.edu.cn/category/7.html","CN","通知公告",3,false,60,"{""listUrls"":[""https://zs.uestc.edu.cn/category/7.html""],""detailPattern"":""https://zs\\.uestc\\.edu\\.cn/category/.*"",""selectors"":{}}"
"东北大学-通知公告","HTML","http://zs.neu.edu.cn/zsdt1/list.htm","CN","通知公告",3,false,60,"{""listUrls"":[""http://zs.neu.edu.cn/zsdt1/list.htm""],""detailPattern"":""http://zs\\.neu\\.edu\\.cn/zsdt1/.*"",""selectors"":{}}"
"东南大学-通知公告","HTML","https://zsb.seu.edu.cn/_s85/zxdt_23610/listm.psp","CN","通知公告",3,false,60,"{""listUrls"":[""https://zsb.seu.edu.cn/_s85/zxdt_23610/listm.psp""],""detailPattern"":""https://zsb\\.seu\\.edu\\.cn/_s85/zxdt_23610/.*"",""selectors"":{}}"
